position,champion,key,games_played,kda,win_rate,pick_rate,ban_rate,cs,gold
top,Ambessa,ambessa,79493,1.91,48.08473702086976,2.44,4.56,183.74,11640
top,Jayce,jayce,52893,1.87,48.15760119486511,1.62,1.72,203.26,12629
top,Galio,galio,7073,2.31,48.169093736745374,0.22,2.66,170.96,10698
top,Akshan,akshan,4860,1.89,48.20987654320988,0.15,3.8,188.44,13172
top,Lillia,lillia,5045,1.89,48.305252725470766,0.15,3.46,175.35,11758
top,Sejuani,sejuani,11564,2.2,48.33967485299204,0.35,0.18,179.2,11599
top,Rumble,rumble,51849,1.97,48.35194507126464,1.59,0.46,183.79,11870
top,Gangplank,gangplank,92701,2.09,48.370567739290834,2.84,1.02,212.53,14291
top,Gnar,gnar,74711,1.93,48.44400422963152,2.29,0.51,182.82,11910
top,Zaahen,zaahen,204763,1.66,48.47164770979132,6.28,23.65,176.27,11637
top,Neeko,neeko,4411,1.87,48.49240535026071,0.14,1.41,184.7,12157
top,Darius,darius,241437,1.76,48.55759473485837,7.4,12.65,187.16,12324
top,Camille,camille,56805,1.89,48.6330428659449,1.74,0.94,180.49,12109
top,Trundle,trundle,45485,1.41,48.6468066395515,1.39,1.57,200.49,12815
top,Aatrox,aatrox,142263,1.86,48.67252904831193,4.36,7.92,181.28,11640
top,Ryze,ryze,17134,1.89,48.8735846854208,0.53,0.49,220.05,12547
top,Viego,viego,4007,1.75,48.88944347392064,0.12,7.88,183.36,12823
top,Senna,senna,3540,2.34,48.898305084745765,0.11,1.22,176.26,12210
top,Quinn,quinn,65652,1.88,48.94443428989216,2.01,2.86,176.06,12686
top,Sylas,sylas,17161,1.87,48.965677990793075,0.53,14.41,158.71,11363
top,Kassadin,kassadin,2291,1.99,48.974247053688345,0.07,1.43,181.64,12492
top,Draven,draven,2985,1.66,48.97822445561139,0.09,12.07,204.55,13867
top,Yasuo,yasuo,74906,1.47,49.098870584465864,2.3,17.54,210.41,12538
top,Kayn,kayn,18124,1.5,49.12822776429044,0.56,8.12,195.93,12712
top,Orianna,orianna,1046,2.32,49.1395793499044,0.03,0.65,190.57,11616
top,Gwen,gwen,141806,1.65,49.16012016416795,4.35,7.29,189.49,12518
top,Poppy,poppy,27418,2.06,49.18301845502954,0.84,2.26,167.39,11029
top,Diana,diana,3340,1.67,49.191616766467064,0.1,11.31,179.96,12278
top,Azir,azir,3937,1.74,49.250698501397004,0.12,0.45,206.25,12304
top,Fiddlesticks,fiddlesticks,8106,1.91,49.25980754996299,0.25,1.58,157.89,11201
top,Riven,riven,138479,1.83,49.285451223651236,4.25,3.49,186.66,12551
top,Tryndamere,tryndamere,132660,1.63,49.314035881200056,4.07,3.85,217.54,13386
top,Vayne,vayne,58636,1.65,49.32976328535371,1.8,7.53,180.93,12266
top,Fiora,fiora,112954,1.54,49.33070099332472,3.46,3.9,196.34,12718
